CustomColumn, Frame, TreatmentSensor, PER-X, PER-Y, LeftSector, RightSector, LeftFlagellumTip-X, LeftFlagellumTip-Y, RightFlagellumTip-X, RightFlagellumTip-Y, LeftFlagellumBase-X, LeftFlagellumBase-Y, RightFlagellumBase-X, RightFlagellumBase-Y, RotationAngle, AntennaSensorWidth, AntennaSensorHeight, AntennaSensorOffset-X, AntennaSensorOffset-Y, AntennaSensorScale-X, AntennaSensorScale-Y
Control-01,155,62,308,174,1,2,275,179,368,169,285,200,362,179,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,156,63,308,174,1,2,275,179,357,190,285,200,344,205,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,157,60,308,174,2,1,257,184,342,187,282,210,339,200,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,158,62,308,174,2,1,251,197,355,141,277,215,342,179,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,159,60,308,174,2,2,257,205,362,169,277,215,344,205,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,160,58,308,174,2,2,262,184,375,179,282,210,350,208,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,161,60,308,174,1,2,259,159,391,190,285,205,357,218,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,162,59,308,174,1,3,272,174,401,205,285,200,360,221,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,163,63,308,174,1,2,259,153,399,192,285,202,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,164,60,308,174,2,3,259,182,393,200,282,210,360,221,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,165,60,308,174,2,3,259,202,391,218,275,218,362,226,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,166,60,308,174,3,3,246,236,393,244,270,231,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,167,58,308,174,3,3,241,249,399,249,267,241,365,244,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,168,60,308,174,3,4,241,249,399,257,267,244,365,246,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,169,59,308,174,3,4,246,244,396,259,267,236,362,249,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,170,60,308,174,2,4,249,190,399,257,280,213,362,249,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,171,56,308,174,2,3,270,197,383,208,282,210,362,226,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,172,54,308,174,1,2,262,171,381,195,285,205,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,173,55,308,174,2,3,249,166,381,195,282,210,360,221,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,174,52,308,174,2,3,251,202,401,239,272,226,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,175,51,308,174,1,3,259,239,414,249,270,231,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,176,49,308,174,2,4,254,233,414,259,267,236,365,246,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,177,50,308,174,2,4,262,210,411,267,277,215,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,178,49,308,174,2,4,262,187,411,270,282,208,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,179,48,308,174,1,4,267,159,417,262,285,197,365,246,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,180,51,308,174,1,3,275,169,383,184,285,195,378,195,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,181,47,308,174,2,3,270,179,419,241,282,208,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,182,49,308,174,2,3,246,251,419,254,272,226,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,183,48,308,174,3,4,246,251,417,262,267,236,365,246,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,184,46,308,174,3,4,257,267,411,267,272,257,365,249,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,185,47,308,174,4,4,249,270,409,272,275,262,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,186,48,308,174,4,4,254,282,411,272,277,264,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,187,46,308,174,4,4,251,282,406,275,277,264,362,254,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,188,48,308,174,3,2,236,259,378,135,267,246,370,171,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,189,48,308,174,3,2,241,233,378,135,272,226,365,228,-7,258,258,187,107,2.57712741596489,2.57712741596489
